trial,feature_prefix,model,selection_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,val_pearson,val_spearman,val_mae,val_rmse,val_r2
33,esm,xgb,pearson,100,7,0.1,0.8,0.8,0.9109785556793213,0.8966335348949187,3.89925217628479,5.148426941555467,0.8260033130645752
34,esm,xgb,pearson,100,7,0.1,0.8,1.0,0.900332510471344,0.880374668160842,4.187608242034912,5.418961415461973,0.8072368502616882
35,esm,xgb,pearson,100,7,0.1,1.0,0.8,0.9029130935668945,0.882259708155642,4.074577331542969,5.339747128732194,0.8128312826156616
36,esm,xgb,pearson,100,7,0.1,1.0,1.0,0.8959832787513733,0.8768451495658152,4.221011161804199,5.504725247074223,0.8010870218276978
37,esm,xgb,pearson,300,3,0.01,0.8,0.8,0.8887104988098145,0.8619385054116021,4.6716628074646,5.898501525935621,0.7716109752655029
38,esm,xgb,pearson,300,3,0.01,0.8,1.0,0.888279914855957,0.8611311169798626,4.643014430999756,5.900898441508055,0.7714253067970276
39,esm,xgb,pearson,300,3,0.01,1.0,0.8,0.8854424357414246,0.8550263897895818,4.698287010192871,5.955649493949035,0.7671639919281006
40,esm,xgb,pearson,300,3,0.01,1.0,1.0,0.885431706905365,0.8545683935435515,4.6979899406433105,5.953350873852243,0.7673436999320984
41,esm,xgb,pearson,300,3,0.05,0.8,0.8,0.9117337465286255,0.8879712841129441,3.9064090251922607,5.085955688631551,0.8302002549171448
42,esm,xgb,pearson,300,3,0.05,0.8,1.0,0.9092552661895752,0.8880145896985836,3.9860167503356934,5.152325610634294,0.8257396817207336
43,esm,xgb,pearson,300,3,0.05,1.0,0.8,0.9074883460998535,0.8877910331151252,4.049140453338623,5.203507692852035,0.8222603797912598
44,esm,xgb,pearson,300,3,0.05,1.0,1.0,0.9099007844924927,0.889741144853792,4.009166717529297,5.148383040422323,0.826006293296814
45,esm,xgb,pearson,300,3,0.1,0.8,0.8,0.9150570034980774,0.8913838096074999,3.8780205249786377,4.986938200168987,0.8367475271224976
46,esm,xgb,pearson,300,3,0.1,0.8,1.0,0.9119452238082886,0.8893477668899985,3.9930977821350098,5.077569831431805,0.8307597637176514
47,esm,xgb,pearson,300,3,0.1,1.0,0.8,0.906669557094574,0.8877772025354184,4.056953430175781,5.208029145576737,0.8219513297080994
48,esm,xgb,pearson,300,3,0.1,1.0,1.0,0.9078781008720398,0.8926426190916387,4.031454563140869,5.184028291059932,0.8235886096954346
49,esm,xgb,pearson,300,5,0.01,0.8,0.8,0.9054517149925232,0.8897338894677161,4.285451412200928,5.4491725468471355,0.8050815463066101
50,esm,xgb,pearson,300,5,0.01,0.8,1.0,0.9037147760391235,0.8883521918819198,4.30450439453125,5.472022249254647,0.803443431854248
51,esm,xgb,pearson,300,5,0.01,1.0,0.8,0.901167631149292,0.8848267544415606,4.347226619720459,5.547544111271573,0.7979804277420044
52,esm,xgb,pearson,300,5,0.01,1.0,1.0,0.9010210633277893,0.8858885348475803,4.310347557067871,5.526729482210184,0.7994935512542725
53,esm,xgb,pearson,300,5,0.05,0.8,0.8,0.9169712662696838,0.9020438878590884,3.798577070236206,4.960747950980204,0.8384577035903931
54,esm,xgb,pearson,300,5,0.05,0.8,1.0,0.9119207859039307,0.8947004279673669,3.92604660987854,5.099580388478037,0.8292893171310425
55,esm,xgb,pearson,300,5,0.05,1.0,0.8,0.9123561382293701,0.8991872040627602,3.9128217697143555,5.094287118501227,0.8296434879302979
56,esm,xgb,pearson,300,5,0.05,1.0,1.0,0.9141911864280701,0.8984118865240016,3.868422508239746,5.041099243179987,0.8331822156906128
57,esm,xgb,pearson,300,5,0.1,0.8,0.8,0.9112982749938965,0.8937964522084944,3.939760446548462,5.117979497989974,0.8280552625656128
58,esm,xgb,pearson,300,5,0.1,0.8,1.0,0.9082682132720947,0.8887453431148983,3.971104621887207,5.188086051468441,0.8233123421669006
59,esm,xgb,pearson,300,5,0.1,1.0,0.8,0.9094547629356384,0.8870201483445791,3.9434499740600586,5.158153205812028,0.8253452777862549
60,esm,xgb,pearson,300,5,0.1,1.0,1.0,0.911767303943634,0.8955286756340743,3.9176442623138428,5.099081981537791,0.8293226361274719
61,esm,xgb,pearson,300,7,0.01,0.8,0.8,0.9081811308860779,0.8930951737981122,4.205191135406494,5.411335752516641,0.8077790141105652
62,esm,xgb,pearson,300,7,0.01,0.8,1.0,0.9043373465538025,0.8885025144121763,4.284997940063477,5.475408195711802,0.8032001256942749
63,esm,xgb,pearson,300,7,0.01,1.0,0.8,0.8973720073699951,0.8842653689439511,4.329261779785156,5.633639503751331,0.791661262512207
64,esm,xgb,pearson,300,7,0.01,1.0,1.0,0.8935216665267944,0.8793246777571951,4.45371150970459,5.696924470737959,0.7869542837142944
65,esm,xgb,pearson,300,7,0.05,0.8,0.8,0.9123275876045227,0.8942254269102217,3.9521021842956543,5.126345202053334,0.8274926543235779
66,esm,xgb,pearson,300,7,0.05,0.8,1.0,0.9097071290016174,0.8908766127746434,3.9948501586914062,5.18372087818628,0.8236095309257507
67,esm,xgb,pearson,300,7,0.05,1.0,0.8,0.9044244289398193,0.885292912996926,4.057605266571045,5.324057539516457,0.813929557800293
68,esm,xgb,pearson,300,7,0.05,1.0,1.0,0.8990568518638611,0.8871088000931918,4.186086177825928,5.451180097573071,0.8049378991127014
