trial,feature_prefix,model,selection_metric,n_estimators,max_depth,min_samples_split,min_samples_leaf,val_pearson,val_spearman,val_mae,val_rmse,val_r2
23,basic,rf,pearson,300,10.0,5,2,0.8022114638917496,0.7760988990955893,5.661219534571669,7.369167020902475,0.6435253298292603
24,basic,rf,pearson,300,10.0,5,4,0.8016406979992389,0.7763206418325289,5.661523922135446,7.378575482906971,0.6426145024902397
25,basic,rf,pearson,300,20.0,2,1,0.804491056003225,0.7782752881874929,5.631200871624421,7.33141541688655,0.6471683521065148
26,basic,rf,pearson,300,20.0,2,2,0.8055767664525977,0.7810051271984855,5.613361708746885,7.313419208867612,0.6488983969189227
27,basic,rf,pearson,300,20.0,2,4,0.8028208505952921,0.7776488309460168,5.644139357847649,7.359063567842,0.6445021447375576
28,basic,rf,pearson,300,20.0,5,1,0.8034433871686228,0.7774431860969329,5.646154110182462,7.3490527088672675,0.6454686857218157
29,basic,rf,pearson,300,20.0,5,2,0.8040397808169071,0.7790119366049942,5.626043746983116,7.3390422871606535,0.6464338688510876
30,basic,rf,pearson,300,20.0,5,4,0.8028208505952921,0.7776488309460168,5.644139357847649,7.359063567841999,0.6445021447375576
31,basic,rf,pearson,300,,2,1,0.8052542659135071,0.7797465444451616,5.627574650105214,7.318806878678832,0.6483809053830809
32,basic,rf,pearson,300,,2,2,0.8052807106557014,0.7806414509714397,5.612875706830688,7.318358983173736,0.6484239407563624
33,basic,rf,pearson,300,,2,4,0.8028008290672588,0.7776345469046801,5.6445311442072,7.359397857868064,0.6444698465829399
34,basic,rf,pearson,300,,5,1,0.8034982716940945,0.777860597527102,5.6417441495074545,7.348061115527082,0.6455643517040897
35,basic,rf,pearson,300,,5,2,0.804143324959999,0.7784376274509374,5.626989256277358,7.337306836064071,0.6466010634680178
36,basic,rf,pearson,300,,5,4,0.8028008290672587,0.7776345469046801,5.644531144207201,7.359397857868065,0.6444698465829397
37,basic,rf,pearson,500,10.0,2,1,0.805495326958001,0.7800750773959031,5.626038131481733,7.314552128168486,0.6487896104319106
38,basic,rf,pearson,500,10.0,2,2,0.8043225043948153,0.7788783921550377,5.627594258765705,7.334033632681999,0.6469162986368231
39,basic,rf,pearson,500,10.0,2,4,0.8031370329973916,0.7780122804422478,5.636584379406229,7.353792047976937,0.6450112700582644
40,basic,rf,pearson,500,10.0,5,1,0.8042325253010473,0.7783641666669205,5.641292973498502,7.335520498176202,0.6467731192582864
41,basic,rf,pearson,500,10.0,5,2,0.8038398258860789,0.7785582482444462,5.632176840283003,7.342037808003093,0.6461451851730351
42,basic,rf,pearson,500,10.0,5,4,0.8031370329973916,0.7780122804422478,5.636584379406229,7.353792047976938,0.6450112700582643
43,basic,rf,pearson,500,20.0,2,1,0.8065019216845518,0.7820061437461211,5.601536118318058,7.29771450419591,0.6504046764179164
44,basic,rf,pearson,500,20.0,2,2,0.8067766157862282,0.7824391996025162,5.586159435425556,7.293008375860162,0.6508554230094781
45,basic,rf,pearson,500,20.0,2,4,0.8045267515126391,0.7803378584103334,5.61722556098556,7.330763529394796,0.6472310947828284
46,basic,rf,pearson,500,20.0,5,1,0.805790329784715,0.780185722033558,5.608864040665345,7.309626318496532,0.6492624795813882
47,basic,rf,pearson,500,20.0,5,2,0.8059602280200547,0.7801834547254094,5.591402352419224,7.306727542497945,0.6495406081377966
48,basic,rf,pearson,500,20.0,5,4,0.8045267515126392,0.7803378584103334,5.617225560985557,7.330763529394795,0.6472310947828284
