trial,feature_prefix,model,selection_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,val_pearson,val_spearman,val_mae,val_rmse,val_r2
78,basic,xgb,pearson,500,3,0.05,0.8,1.0,0.8025609850883484,0.7733874252806008,5.506305694580078,7.396436926339754,0.640882134437561
79,basic,xgb,pearson,500,3,0.05,1.0,0.8,0.8041876554489136,0.7758710346266484,5.610574245452881,7.37104251522337,0.6433438658714294
80,basic,xgb,pearson,500,3,0.05,1.0,1.0,0.8034332990646362,0.7759050442488785,5.6113810539245605,7.390493379674968,0.6414591073989868
81,basic,xgb,pearson,500,3,0.1,0.8,0.8,0.7970629334449768,0.7558155603976321,5.650333881378174,7.512419780486974,0.6295312643051147
82,basic,xgb,pearson,500,3,0.1,0.8,1.0,0.7945848703384399,0.7600486247111897,5.737942218780518,7.576603876411174,0.6231738328933716
83,basic,xgb,pearson,500,3,0.1,1.0,0.8,0.8043137788772583,0.7706065718362632,5.636409282684326,7.391489764665991,0.6413624286651611
84,basic,xgb,pearson,500,3,0.1,1.0,1.0,0.8055031895637512,0.7743748379793445,5.557610034942627,7.362312912952197,0.6441881656646729
85,basic,xgb,pearson,500,5,0.01,0.8,0.8,0.8167967796325684,0.7855306742632209,5.463616371154785,7.126017715316452,0.6666613817214966
86,basic,xgb,pearson,500,5,0.01,0.8,1.0,0.8140190839767456,0.784613321386271,5.496487617492676,7.170877890159347,0.6624512672424316
87,basic,xgb,pearson,500,5,0.01,1.0,0.8,0.8158057928085327,0.7857487893071226,5.501262664794922,7.140465265069228,0.6653083562850952
88,basic,xgb,pearson,500,5,0.01,1.0,1.0,0.8063347935676575,0.7809665829599582,5.62578821182251,7.301627920826249,0.6500296592712402
89,basic,xgb,pearson,500,5,0.05,0.8,0.8,0.8097492456436157,0.7749094692407996,5.526397705078125,7.265077631851305,0.65352463722229
90,basic,xgb,pearson,500,5,0.05,0.8,1.0,0.8123522996902466,0.7812441014773548,5.547667980194092,7.214252871124313,0.6583553552627563
91,basic,xgb,pearson,500,5,0.05,1.0,0.8,0.8176825046539307,0.7889688203398565,5.400258541107178,7.114045405309738,0.6677804589271545
92,basic,xgb,pearson,500,5,0.05,1.0,1.0,0.8103641867637634,0.7762465008560673,5.554201126098633,7.2499844781117515,0.6549627184867859
93,basic,xgb,pearson,500,5,0.1,0.8,0.8,0.8010963201522827,0.7717012282104386,5.561466693878174,7.423257221208005,0.6382730007171631
94,basic,xgb,pearson,500,5,0.1,0.8,1.0,0.8108537793159485,0.779399419567601,5.486631393432617,7.266921454812892,0.6533486843109131
95,basic,xgb,pearson,500,5,0.1,1.0,0.8,0.8133103847503662,0.7731835942780358,5.4384284019470215,7.199200469235471,0.6597795486450195
96,basic,xgb,pearson,500,5,0.1,1.0,1.0,0.8046457767486572,0.7687872837777744,5.659392833709717,7.369962620633908,0.6434483528137207
97,basic,xgb,pearson,500,7,0.01,0.8,0.8,0.8200053572654724,0.7888067078072271,5.445442199707031,7.076479419465663,0.671279788017273
98,basic,xgb,pearson,500,7,0.01,0.8,1.0,0.8213716149330139,0.7896691918269791,5.452956199645996,7.0447824420461505,0.6742180585861206
99,basic,xgb,pearson,500,7,0.01,1.0,0.8,0.8126586675643921,0.7822566812965486,5.574699878692627,7.200651658555726,0.6596423983573914
100,basic,xgb,pearson,500,7,0.01,1.0,1.0,0.8159858584403992,0.7898526170562061,5.465678691864014,7.13863179708312,0.6654801964759827
101,basic,xgb,pearson,500,7,0.05,0.8,0.8,0.8104828000068665,0.7736402301391769,5.538122177124023,7.236743514562102,0.656221866607666
102,basic,xgb,pearson,500,7,0.05,0.8,1.0,0.8171485662460327,0.7808207950459991,5.453606128692627,7.124827064958588,0.666772723197937
103,basic,xgb,pearson,500,7,0.05,1.0,0.8,0.8139708042144775,0.7857419873826765,5.547398567199707,7.179051484172707,0.6616812944412231
104,basic,xgb,pearson,500,7,0.05,1.0,1.0,0.8173487782478333,0.7906237285575672,5.459198951721191,7.1177955476574315,0.6674301624298096
105,basic,xgb,pearson,500,7,0.1,0.8,0.8,0.8023598790168762,0.7674146554245725,5.685463905334473,7.377580870001236,0.64271080493927
106,basic,xgb,pearson,500,7,0.1,0.8,1.0,0.8073461651802063,0.7767493898034413,5.57249116897583,7.313676266739455,0.6488736867904663
107,basic,xgb,pearson,500,7,0.1,1.0,0.8,0.808380663394928,0.7847176175611097,5.593925952911377,7.2772530648872005,0.6523623466491699
108,basic,xgb,pearson,500,7,0.1,1.0,1.0,0.8105079531669617,0.7828171598708986,5.526632785797119,7.240254132779219,0.6558882594108582
