Loaded 10000 UniProt IDs
Scanned 1530/10000 | reused=0 | fetched_new=0 | failed=1530
Scanned 1540/10000 | reused=0 | fetched_new=0 | failed=1540
Scanned 1550/10000 | reused=0 | fetched_new=0 | failed=1550
Scanned 1560/10000 | reused=0 | fetched_new=0 | failed=1560
Scanned 1570/10000 | reused=0 | fetched_new=0 | failed=1570
Scanned 1580/10000 | reused=0 | fetched_new=0 | failed=1580
Scanned 1590/10000 | reused=0 | fetched_new=0 | failed=1590
Scanned 1600/10000 | reused=0 | fetched_new=0 | failed=1600
Scanned 1610/10000 | reused=0 | fetched_new=0 | failed=1610
Scanned 1620/10000 | reused=0 | fetched_new=0 | failed=1620
Scanned 1630/10000 | reused=0 | fetched_new=0 | failed=1630
Scanned 1640/10000 | reused=0 | fetched_new=0 | failed=1640
Scanned 1650/10000 | reused=0 | fetched_new=0 | failed=1650
Scanned 1660/10000 | reused=0 | fetched_new=0 | failed=1660
Scanned 1670/10000 | reused=0 | fetched_new=0 | failed=1670
Scanned 1680/10000 | reused=0 | fetched_new=0 | failed=1680
Scanned 1690/10000 | reused=0 | fetched_new=0 | failed=1690
Scanned 1700/10000 | reused=0 | fetched_new=0 | failed=1700
Scanned 1710/10000 | reused=0 | fetched_new=0 | failed=1710
Scanned 1720/10000 | reused=0 | fetched_new=0 | failed=1720
Scanned 1730/10000 | reused=0 | fetched_new=0 | failed=1730
Scanned 1740/10000 | reused=0 | fetched_new=0 | failed=1740
Scanned 1750/10000 | reused=0 | fetched_new=0 | failed=1750
Scanned 1760/10000 | reused=0 | fetched_new=0 | failed=1760
Scanned 1770/10000 | reused=0 | fetched_new=0 | failed=1770
Scanned 1780/10000 | reused=0 | fetched_new=0 | failed=1780
Scanned 1790/10000 | reused=0 | fetched_new=0 | failed=1790
Scanned 1800/10000 | reused=0 | fetched_new=0 | failed=1800
Scanned 1810/10000 | reused=0 | fetched_new=0 | failed=1810
Scanned 1820/10000 | reused=0 | fetched_new=0 | failed=1820
Scanned 1830/10000 | reused=0 | fetched_new=0 | failed=1830
Scanned 1840/10000 | reused=0 | fetched_new=0 | failed=1840
Scanned 1850/10000 | reused=0 | fetched_new=0 | failed=1850
Scanned 1860/10000 | reused=0 | fetched_new=0 | failed=1860
Scanned 1870/10000 | reused=0 | fetched_new=0 | failed=1870
Scanned 1880/10000 | reused=0 | fetched_new=0 | failed=1880
Scanned 1890/10000 | reused=0 | fetched_new=0 | failed=1890
Scanned 1900/10000 | reused=0 | fetched_new=0 | failed=1900
Scanned 1910/10000 | reused=0 | fetched_new=0 | failed=1910
Scanned 1920/10000 | reused=0 | fetched_new=0 | failed=1920
Scanned 1930/10000 | reused=0 | fetched_new=0 | failed=1930
Scanned 1940/10000 | reused=0 | fetched_new=0 | failed=1940
Scanned 1950/10000 | reused=0 | fetched_new=0 | failed=1950
Scanned 1960/10000 | reused=0 | fetched_new=0 | failed=1960
Scanned 1970/10000 | reused=0 | fetched_new=0 | failed=1970
Scanned 1980/10000 | reused=0 | fetched_new=0 | failed=1980
